ID_Finance,Tax_Period,Chiffre_Affaires,Benefice,RefEmployer
8139,2014-12-30,88190,79512,481055577
8140,2013-12-30,0,0,481246784
8141,2013-12-30,280172,280172,270253555
8142,NULL,NULL,NULL,481093457
8143,2014-12-30,0,0,480864240
8144,2014-12-30,0,0,272542800
8145,2013-12-30,630068,630068,481246975
8146,2013-12-30,0,0,481069012
8147,2013-12-30,315684,277756,486117363
8148,2013-12-30,0,0,261098258
8149,2013-12-30,91881,91881,480974224
8150,2013-12-30,57078,56887,481003353
8151,2013-12-30,623447,482124,486117369
8152,2014-12-30,0,0,742817446
8153,NULL,NULL,NULL,237432159
8154,NULL,NULL,NULL,481241767
8155,2013-12-30,97883,97883,480791922
8156,NULL,NULL,NULL,480943731
8157,2013-12-30,0,0,481172875
8158,2014-12-30,0,0,742995871
8159,2014-12-30,0,0,480935023
8160,2013-12-30,0,0,480734640
8161,2013-12-30,0,0,900484830
8162,2014-03-30,137508,137508,260575023
8163,2012-12-30,35334,-8278,237454792
8164,2013-12-30,0,0,480777045
8165,2013-12-30,0,0,237331118
8166,2014-12-30,0,0,480906277
8167,2013-12-30,36997,36167,480801074
8168,2014-05-30,18299,18299,480882253
8169,2013-12-30,85670,82970,481244563
8170,2014-12-30,0,0,208115315
8171,2013-12-30,4087917,4048884,481157680
8172,2013-12-30,3431371,857521,480616251
8173,2013-12-30,0,0,480924107
8174,2013-12-30,0,0,470887713
8175,2013-12-30,829077,719856,480618433
8176,2013-12-30,0,0,480684419
8177,2013-12-30,124756,124756,311480824
8178,2013-12-30,76950,58185,742827843
8179,2013-12-30,489569,489569,481068613
8180,NULL,NULL,NULL,237383225
8181,2014-12-30,0,0,50631890
8182,2013-12-30,0,0,870762958
8183,2014-12-30,54176,54176,486112995
8184,NULL,NULL,NULL,486025822
8185,2014-06-30,0,0,270760400
8186,2012-12-30,0,0,610916808
8187,2013-12-30,726156,74620,311685863
8188,2013-06-30,432082,330622,611279400
8189,2014-06-30,0,0,453277279
8190,2014-06-30,35390,34011,611333172
8191,NULL,NULL,NULL,611014882
8192,2014-12-30,0,0,611353710
8193,2013-12-30,905811,478345,616029614
8194,2014-12-30,0,0,310894080
8195,2014-12-30,0,0,611180944
8196,2013-12-30,0,0,611235655
8197,2014-05-30,27397153,20686194,610660795
8198,2013-06-30,134104048,52762931,610444695
8199,NULL,NULL,NULL,611320380
8200,NULL,NULL,NULL,611011211
8201,2013-12-30,41697,41697,300130405
8202,2013-06-30,83431716,55536514,610458355
8203,2013-12-30,0,0,611303683
8204,2014-12-30,350779,255883,311028870
8205,2013-12-30,0,0,611186224
8206,NULL,NULL,NULL,611245936
8207,2014-12-30,0,0,262861941
8208,2013-12-30,0,0,300108547
8209,NULL,NULL,NULL,611113062
8210,2013-06-30,382025,356645,610964379
8211,2013-05-30,794245,68273,611013550
8212,2014-06-30,61772,48707,621514591
8213,2014-06-30,396269348,183011099,610444650
8214,2014-02-28,4365561,2608961,610444651
8215,2013-12-30,5401,5401,611349527
8216,2014-06-30,44908,44908,200022524
8217,2013-06-30,622673,428825,610518029
8218,2013-12-30,600265,514061,611293032
8219,2013-06-30,179063,171087,611377512
8220,2013-12-30,125973,118116,610900267
